Tool,Format,DataSize,Query,Time_ms
Spark,parquet,sf10,Q1,12839.346408843994
Spark,parquet,sf10,Q2,2013.594627380371
Spark,parquet,sf10,Q3,2080.3000926971436
Spark,parquet,sf10,Q4,1912.3203754425049
Spark,parquet,sf10,Q5,1484.0734004974365
Spark,orc,sf10,Q1,6299.408912658691
Spark,orc,sf10,Q2,3851.1972427368164
Spark,orc,sf10,Q3,3841.712713241577
Spark,orc,sf10,Q4,4970.845937728882
Spark,orc,sf10,Q5,4426.25880241394
Spark,delta,sf10,Q1,19766.417264938354
Spark,delta,sf10,Q2,3948.6379623413086
Spark,delta,sf10,Q3,7088.365793228149
Spark,delta,sf10,Q4,2303.215980529785
Spark,delta,sf10,Q5,1528.5038948059082
Spark,parquet,sf50,Q1,1424.0379333496094
Spark,parquet,sf50,Q2,1566.5652751922607
Spark,parquet,sf50,Q3,1929.842472076416
Spark,parquet,sf50,Q4,1767.3516273498535
Spark,parquet,sf50,Q5,1927.748441696167
Spark,orc,sf50,Q1,19632.819652557373
Spark,orc,sf50,Q2,16682.786464691162
Spark,orc,sf50,Q3,16071.554183959961
Spark,orc,sf50,Q4,18374.254941940308
Spark,orc,sf50,Q5,14930.50479888916
Spark,delta,sf50,Q1,6834.887981414795
Spark,delta,sf50,Q2,1828.9766311645508
Spark,delta,sf50,Q3,3314.6114349365234
Spark,delta,sf50,Q4,2244.0385818481445
Spark,delta,sf50,Q5,2688.6372566223145
Spark,parquet,sf100,Q1,2061.17844581604
Spark,parquet,sf100,Q2,1733.9861392974854
Spark,parquet,sf100,Q3,1841.8054580688477
Spark,parquet,sf100,Q4,2145.418882369995
Spark,parquet,sf100,Q5,1675.5530834197998
Spark,orc,sf100,Q1,33550.29654502869
Spark,orc,sf100,Q2,37352.407932281494
Spark,orc,sf100,Q3,37196.1669921875
Spark,orc,sf100,Q4,33150.116205215454
Spark,orc,sf100,Q5,30566.147565841675
Spark,delta,sf100,Q1,5268.249988555908
Spark,delta,sf100,Q2,1610.2116107940674
Spark,delta,sf100,Q3,4372.679948806763
Spark,delta,sf100,Q4,2570.087671279907
Spark,delta,sf100,Q5,2417.6266193389893
